osm_id,highway,lanes,maxspeed,name,oneway,WKT
1042,residential,nan,nan,Las Margaritas,nan,"LINESTRING (-77.0750587 -11.985132, -77.0750094 -11.9844858)"
1043,residential,nan,nan,Los Melones,nan,"LINESTRING (-77.0750094 -11.9844858, -77.0745711 -11.9845155)"
1044,residential,nan,nan,Las Margaritas,nan,"LINESTRING (-77.0750094 -11.9844858, -77.0749428 -11.9837088)"
1045,tertiary,2,40,Avenida Los Alisos,yes,"LINESTRING (-77.0749428 -11.9837088, -77.0748454 -11.9837178)"
1046,residential,nan,nan,El Cuarzo,nan,"LINESTRING (-77.0757909 -11.9836281, -77.0758562 -11.9843601)"
1047,tertiary,2,40,Avenida Los Alisos,yes,"LINESTRING (-77.0757909 -11.9836281, -77.0749428 -11.9837088)"
1048,residential,nan,nan,Pasaje los Olivos,nan,"LINESTRING (-77.0765343 -11.9835656, -77.0765883 -11.9840627)"
1049,tertiary,2,40,Avenida Los Alisos,yes,"LINESTRING (-77.0765343 -11.9835656, -77.0757909 -11.9836281)"
105,secondary,2,40,Avenida Universitaria,yes,"LINESTRING (-77.0724882 -11.9647117, -77.0721103 -11.96441)"
1050,residential,nan,nan,nan,nan,"LINESTRING (-77.0765883 -11.9840627, -77.076335 -11.9840852)"
1051,residential,nan,nan,El Cuarzo,nan,"LINESTRING (-77.0758562 -11.9843601, -77.0758613 -11.9844139)"
1052,residential,nan,nan,Los Melones,nan,"LINESTRING (-77.0758562 -11.9843601, -77.0754294 -11.9843922)"
1053,residential,nan,nan,El Cuarzo,nan,"LINESTRING (-77.0759834 -11.9851519, -77.0765525 -11.9862178)"
1054,residential,nan,nan,Granadas,nan,"LINESTRING (-77.0759834 -11.9851519, -77.0764279 -11.9850693)"
1055,residential,nan,nan,La Perla,nan,"LINESTRING (-77.0765525 -11.9862178, -77.0769409 -11.9859585)"
1056,residential,nan,nan,El Cuarzo,nan,"LINESTRING (-77.0765525 -11.9862178, -77.0767501 -11.9865458)"
1057,residential,nan,nan,Gerandios,nan,"LINESTRING (-77.0767501 -11.9865458, -77.0772439 -11.9863337)"
1058,residential,nan,nan,El Cuarzo,nan,"LINESTRING (-77.0767501 -11.9865458, -77.077014 -11.9869697)"
1059,residential,nan,nan,El Azafran,nan,"LINESTRING (-77.0754265 -11.9905982, -77.0762629 -11.9905518)"
106,residential,2,nan,Blondell,nan,"LINESTRING (-77.0717768 -11.9654504, -77.0719675 -11.9652667)"
1060,residential,nan,nan,Los Limoncillos,nan,"LINESTRING (-77.0762629 -11.9905518, -77.0762873 -11.9910054)"
1061,residential,nan,nan,Los Helenios,nan,"LINESTRING (-77.072706 -11.9882584, -77.07278 -11.9878242)"
1062,residential,nan,nan,Tritoma,nan,"LINESTRING (-77.072706 -11.9882584, -77.0739592 -11.9883332)"
1063,residential,nan,nan,Los Helenios,nan,"LINESTRING (-77.07278 -11.9878242, -77.0728562 -11.9873766)"
1064,residential,nan,nan,El Calistemo,nan,"LINESTRING (-77.07278 -11.9878242, -77.0748292 -11.9878449)"
1065,residential,nan,nan,Los Helenios,nan,"LINESTRING (-77.0728562 -11.9873766, -77.0729183 -11.9869329)"
1066,residential,nan,nan,Las Fresas,nan,"LINESTRING (-77.0728562 -11.9873766, -77.0748064 -11.9874201)"
1067,residential,nan,nan,Los Amarantos,nan,"LINESTRING (-77.0729183 -11.9869329, -77.0724195 -11.9868587)"
1068,residential,nan,nan,Los Helenios,nan,"LINESTRING (-77.0729183 -11.9869329, -77.0730018 -11.9863985)"
1069,tertiary,2,40,El Amargon,no,"LINESTRING (-77.0748064 -11.9874201, -77.0748292 -11.9878449)"
107,residential,2,nan,Blondell,nan,"LINESTRING (-77.0705806 -11.9666609, -77.0709418 -11.9663033)"
1070,tertiary,2,40,El Amargon,no,"LINESTRING (-77.0748292 -11.9878449, -77.0748549 -11.9882833)"
1071,residential,nan,nan,Tritoma,nan,"LINESTRING (-77.0739592 -11.9883332, -77.0744114 -11.9883057)"
1072,residential,nan,nan,Los Amarantos,nan,"LINESTRING (-77.0760682 -11.9870207, -77.0756719 -11.9870413)"
1073,residential,nan,nan,Los Limoncillos,nan,"LINESTRING (-77.0760682 -11.9870207, -77.0761205 -11.9882107)"
1074,residential,nan,nan,Tritoma,nan,"LINESTRING (-77.0761205 -11.9882107, -77.0766116 -11.9881936)"
